ParName   Value   Gradient
log_msy_sel_m(16) -8.23306e-06  1.26412e-06
log_msy_sel_m(17) -2.39159e-06 -1.89643e-06
log_msy_sel_m(18)  -2.3951e-06  -3.3018e-06
log_msy_sel_m(19) -2.38816e-06 -5.25291e-07
log_msy_sel_m(20)  -2.3874e-06 -2.22639e-07
rec_dev_future(2025)            0            0
rec_dev_future(2026)            0            0
rec_dev_future(2027)            0            0
rec_dev_future(2028)            0            0
rec_dev_future(2029)            0            0
rec_dev_future(2030)            0            0
rec_dev_future(2031)            0            0
rec_dev_future(2032)            0            0
rec_dev_future(2033)            0            0
rec_dev_future(2034)            0            0
